TYPE,ARTICLE,WEIGHT,PRICE,AMOUNT
ЦЕПЬ,3RMB 050-55,,"455,00р.",1
ЦЕПЬ,8PD100-60,,"586,00р.",1
ЦЕПЬ,ЗМ 080-50,,"354,00р.",
ЦЕПЬ,ЗМ 100-50,,"498,00р.",
ЦЕПЬ,Руссо-50,,"864,00р.",
ЦЕПЬ,Руссо-60,,"963,00р.",
ЦЕПЬ,СГ 035-50,,"184,00р.",1
ЦЕПЬ,СГ 035-55,,"195,00р.",1
ЦЕПЬ,СL 160-45,,"185,00р.",1
ЦЕПЬ,СL 160-60,,"220,00р.",1
ЦЕПЬ,A2 030-50,"2,12","86,00р.",
ЦЕПЬ,A2 030-60,"2,79","97,00р.",
ЦЕПЬ,A2 030-70,"3,05","0,00р.",
ЦЕПЬ,A2 035-60,,"69,00р.",
ЦЕПЬ,A3 030-50,,"221,00р.",
ЦЕПЬ,A3 030-60,,"262,00р.",
ЦЕПЬ,A3 035-50,,"285,00р.",1
ЦЕПЬ,A3 035-55,,"342,00р.",1
ЦЕПЬ,A3 035-60,,"354,00р.",1
ЦЕПЬ,A3 035-70,,"117,00р.",
ЦЕПЬ,A3 050-50,"8,87","512,00р.",1
ЦЕПЬ,A3 050-60,"10,74","647,00р.",1
ЦЕПЬ,A3 050-60,,"0,00р.",
ЦЕПЬ,A3 050-70,"12,31","144,00р.",
ЦЕПЬ,A3 050-70,,"0,00р.",
ЦЕПЬ,ACO 080-50,,"537,00р.",1
ЦЕПЬ,ACO 080-55,,"585,00р.",1
ЦЕПЬ,AD 050-40,,"142,00р.",1
ЦЕПЬ,AD 050-45,,"161,00р.",1
ЦЕПЬ,AD 050-55,,"120,00р.",1
ЦЕПЬ,AD 070-55,,"337,00р.",1
ЦЕПЬ,AD 070-70,"7,8","132,00р.",1
ЦЕПЬ,AD 140-50,,"0,00р.",
ЦЕПЬ,AD050-50,"2,77","242,00р.",1
ЦЕПЬ,AD050-60,"3,5","298,00р.",1
ЦЕПЬ,AD050-70,"3,88","90,00р.",1
ЦЕПЬ,AD070-50,"5,92","263,00р.",1
ЦЕПЬ,AD070-60,"7,01","369,00р.",1
ЦЕПЬ,AD100-50,"9,47","465,00р.",1
ЦЕПЬ,AD100-55,,"546,00р.",1
ЦЕПЬ,AD100-60,"12,57","695,00р.",1
ЦЕПЬ,AD100-70,"13,99","408,00р.",1
ЦЕПЬ,AD120-60,"17,64","0,00р.",
ЦЕПЬ,AD150-60,"33,08","0,00р.",
ЦЕПЬ,ADS 050-55,,"355,00р.",1
ЦЕПЬ,ADS 050-60,,"383,00р.",1
ЦЕПЬ,AK 030-45,"1,54","0,00р.",
ЦЕПЬ,AK 050-45,"2,12","184,00р.",1
ЦЕПЬ,AK 060-55,,"288,00р.",1
ЦЕПЬ,AK 070-55,,"251,80р.",1
ЦЕПЬ,AK050-50,"3,47","214,00р.",1
ЦЕПЬ,AK050-55,,"148,00р.",1
ЦЕПЬ,AK050-60,"4,2","248,00р.",1
ЦЕПЬ,AK070-50,"6,73","223,00р.",1
ЦЕПЬ,AK070-60,"8,09","298,00р.",1
ЦЕПЬ,BK 0404F-50,,"540,00р.",
ЦЕПЬ,BK 0404F-55,,"576,00р.",
ЦЕПЬ,BK 0503F-50,,"528,00р.",
ЦЕПЬ,BK 0503F-55,,"594,00р.",
ЦЕПЬ,BK 0504F-50,,"738,00р.",
ЦЕПЬ,BK 0504F-60,,"810,00р.",
ЦЕПЬ,CB 160-55,,"183,00р.",1
ЦЕПЬ,CH 050-55,,"222,00р.",1
ЦЕПЬ,CL 125-50,,"158,00р.",1
ЦЕПЬ,CL 125-55,,"171,00р.",1
ЦЕПЬ,CL 140-50,,"160,00р.",1
ЦЕПЬ,CL 140-60,,"170,00р.",1
ЦЕПЬ,CL 160-50,,"209,00р.",1
ЦЕПЬ,CL 160-55,,"227,00р.",1
ЦЕПЬ,Cr 030-50,,"81,00р.",1
ЦЕПЬ,Cr 030-60,,"105,00р.",1
ЦЕПЬ,DPD 035-50,,,
ЦЕПЬ,DPD 035-60,,"63,00р.",
ЦЕПЬ,DPD 050-50,,"96,00р.",
ЦЕПЬ,DPD 050-60,,"0,00р.",
ЦЕПЬ,GB 060-50,,"634,00р.",1
ЦЕПЬ,GB 060-55,,"687,00р.",1
ЦЕПЬ,GB 060-60,,"814,00р.",1
ЦЕПЬ,GB 075-55,,"506,00р.",1
ЦЕПЬ,GB 075-60,,"1 165,00р.",1
ЦЕПЬ,GB 100-60,,"2 034,00р.",1
